system,case_id,run,run_status,run_id,source_file,required_fields_present,required_fields_missing,context_usage,constraint_satisfaction,completeness,ground_truth_correctness,unsupported_fact_flags,human_evaluation_status,open_language_quality
ChatGPT,outfit_01,1,pending_real_run,,,,,,,,,,,
ChatGPT,outfit_01,2,pending_real_run,,,,,,,,,,,
ChatGPT,outfit_01,3,pending_real_run,,,,,,,,,,,
ChatGPT,presentation_01,1,pending_real_run,,,,,,,,,,,
ChatGPT,presentation_01,2,pending_real_run,,,,,,,,,,,
ChatGPT,presentation_01,3,pending_real_run,,,,,,,,,,,
ChatGPT,customer_support_01,1,pending_real_run,,,,,,,,,,,
ChatGPT,customer_support_01,2,pending_real_run,,,,,,,,,,,
ChatGPT,customer_support_01,3,pending_real_run,,,,,,,,,,,
Claude,outfit_01,1,pending_real_run,,,,,,,,,,,
Claude,outfit_01,2,pending_real_run,,,,,,,,,,,
Claude,outfit_01,3,pending_real_run,,,,,,,,,,,
Claude,presentation_01,1,pending_real_run,,,,,,,,,,,
Claude,presentation_01,2,pending_real_run,,,,,,,,,,,
Claude,presentation_01,3,pending_real_run,,,,,,,,,,,
Claude,customer_support_01,1,pending_real_run,,,,,,,,,,,
Claude,customer_support_01,2,pending_real_run,,,,,,,,,,,
Claude,customer_support_01,3,pending_real_run,,,,,,,,,,,
Builder,outfit_01,1,available,builder_outfit_01_1,builder_runs/outfit_01/run_1.json,False,"[""precipitation""]",True,False,False,not_applicable,"[""explicit_additional_recommendation""]",pending,human_evaluation_required
Builder,outfit_01,2,available,builder_outfit_01_2,builder_runs/outfit_01/run_2.json,False,"[""precipitation""]",True,False,False,not_applicable,"[""explicit_additional_recommendation""]",pending,human_evaluation_required
Builder,outfit_01,3,available,builder_outfit_01_3,builder_runs/outfit_01/run_3.json,False,"[""precipitation""]",True,False,False,not_applicable,"[""explicit_additional_recommendation""]",pending,human_evaluation_required
Builder,presentation_01,1,available,builder_presentation_01_1,builder_runs/presentation_01/run_1.json,True,[],True,True,True,not_applicable,[],pending,human_evaluation_required
Builder,presentation_01,2,available,builder_presentation_01_2,builder_runs/presentation_01/run_2.json,True,[],True,True,True,not_applicable,[],pending,human_evaluation_required
Builder,presentation_01,3,available,builder_presentation_01_3,builder_runs/presentation_01/run_3.json,True,[],True,True,True,not_applicable,[],pending,human_evaluation_required
Builder,customer_support_01,1,available,builder_customer_support_01_1,builder_runs/customer_support_01/run_1.json,True,[],True,True,True,True,[],pending,
Builder,customer_support_01,2,available,builder_customer_support_01_2,builder_runs/customer_support_01/run_2.json,True,[],True,True,True,True,[],pending,
Builder,customer_support_01,3,available,builder_customer_support_01_3,builder_runs/customer_support_01/run_3.json,True,[],True,True,True,True,[],pending,
